imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0242252,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country must avenge her family's fall from grace by scheming to steal a priceless necklace.",07 Dec 2001,Charles Shyer,"Hilary Swank, Simon Baker, Jonathan Pryce",15%
0282856,"A light-hearted look at the life and career of porn star Ron Jeremy, from his devoted fanbase to his unlikely status as a sex symbol and his goal to achieve mainstream success.",01 Jan 2001,Scott J. Gill,"Ron Jeremy, William Margold, Al Goldstein",69%
0193560,"A ragtag group of youngsters band together after the American Civil War to form the Texas Rangers, a group charged with the dangerous, ruthless duty of cleaning up the West.",30 Nov 2001,Steve Miner,"James Van Der Beek, Rachael Leigh Cook, Ashton Kutcher",2%
0240772,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,07 Dec 2001,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts",83%
0233841,"In a building site in present-day Tehran, Lateef, a 17-year-old Turkish worker is irresistibly drawn to Rahmat, a young Afghan worker. The revelation of Rahmat's secret changes both their lives.",10 Oct 2001,Majid Majidi,"Hossein Abedini, Zahra Bahrami, Mohammad Amir Naji",89%
0270259,Two businesswomen bond and reveal their inner natures while getting carried away on a revenge attack against an accused rapist.,21 Dec 2001,Patrick Stettner,"Stockard Channing, Julia Stiles, Frederick Weller",81%
0050539,"When Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",10 Apr 1957,Jack Arnold,"Grant Williams, Randy Stuart, April Kent",82%
0283509,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier become...",19 Sep 2001,Danis Tanovic,"Branko Djuric, Rene Bitorajac, Filip Sovagovic",93%
0037515,"Seven guests, a newly hired secretary and two staff are gathered at a manor house on an isolated island by an unknown absentee host and are killed off one-by-one. They work together to determine who the killer is before it's too l...",31 Oct 1945,René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward",100%
0020697,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,05 Dec 1930,Josef von Sternberg,"Emil Jannings, Marlene Dietrich, Kurt Gerron",96%
0087747,"A Russian saxophonist visiting New York with a circus troupe suddenly decides to defect from the USSR during a shopping trip to a department store, but he finds adjusting to American life more difficult than he imagined.",06 Apr 1984,Paul Mazursky,"Robin Williams, Maria Conchita Alonso, Cleavant Derricks",86%
0211915,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",08 Feb 2002,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus",89%
0277371,A sendup of all the teen movies that have accumulated in the past two decades.,14 Dec 2001,Joel Gallen,"Chyler Leigh, Jaime Pressly, Chris Evans",30%
0259711,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,14 Dec 2001,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz",43%
0280778,"True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.",29 Mar 2002,Richard Eyre,"Judi Dench, Jim Broadbent, Kate Winslet",79%
